variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
fnoxic_sed,Sediment oxic Ndet remineralization flux,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
cased,calcium carbonite in sediment,mol m-3,,,,,,y,,,,,,,,,,,,,,,,,,,
btm_co3_sol_arag,Bottom Aragonite Solubility,mol kg-1,,,,,,y,y,,,,,,,,,,,,,,,,,,
btm_co3_sol_calc,Bottom Calcite Solubility,mol kg-1,,,,,,y,y,,,,,,,,,,,,,,,,,,
btm_co3_ion,Bottom Carbonate Ion,mol kg-1,,,,,,y,y,,,,,,,,,,,,,,,,,,
btm_htotal,Bottom Htotal,mol kg-1,,,,,,y,y,,,,,,,,,,,,,,,,,,
fcased_redis_surfresp,"Calcite redissolution rom sediments, surfresp",mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
cased_redis_coef,"Calcite redissolution from sediments, deepresp coefficient,",s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
cased_redis_delz,"Calcite redissolution from sediments, effective depth",none (0-1),,,,,,y,,,,,,,,,,,,,,,,,,,
phos,Surface pH,1,,,,,,,y,,,,,,y,,,,,,,,,,,,
no3os,Surface Dissolved Nitrate Concentration,mol m-3,,,,,,,y,,,,,,y,,,,,,,,,,,,
pco2surf,Oceanic pCO2,uatm,,,,,,,y,,,,,,,y,,,,,,,,,,,
mesozoo_200,"Mesozooplankton biomass, 200m integral",mol m-2,,,,,,,y,,,,,,,,,y,,,,,,,,,
fndet_100,Nitrogen detritus sinking flux @ 100m,mol m-2 s-1,,,,,,,,y,,,,,,,,,,,,,,,,,
fpdet_100,Phosphorous detritus sinking flux @ 100m,mol m-2 s-1,,,,,,,,y,,,,,,,,,,,,,,,,,
ffedet_100,Iron detritus sinking flux @ 100m,mol m-2 s-1,,,,,,,,y,,,,,,,,,,,,,,,,,
fsidet_100,Silicon detritus sinking flux @ 100m,mol m-2 s-1,,,,,,,,y,,,,,,,,,,,,,,,,,
fcadet_calc_100,Calcite detritus sinking flux @ 100m,mol m-2 s-1,,,,,,,,y,,,,,,,,,,,,,,,,,
fcadet_arag_100,Aragonite detritus sinking flux @ 100m,mol m-2 s-1,,,,,,,,y,,,,,,,,,,,,,,,,,
flithdet_100,Lithogenic detritus sinking flux @ 100m,mol m-2 s-1,,,,,,,,y,,,,,,,,,,,,,,,,,
jprod_nsmp_100,Small phyto. nitrogen  prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nmdp_100,Medium phyto. nitrogen  prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nlgp_100,Large phyto. nitrogen  prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
